@relation eCommerce2.arff

@attribute day numeric
@attribute buyer_id {b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99}
@attribute buyerbalance numeric
@attribute product {p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29}
@attribute saleprice numeric
@attribute seller_id {s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29}
@attribute seller_is_honest {dishonest,honest}
@attribute sellerbalance numeric

@data
1,b0,-17,p18,18,s18,honest,18
1,b1,-2,p1,1,s1,dishonest,1
1,b2,-5,p4,4,s4,dishonest,4
1,b3,-17,p18,18,s18,honest,36
1,b4,-13,p14,14,s14,honest,14
1,b5,-4,p3,3,s3,dishonest,3
1,b6,-4,p3,3,s3,dishonest,6
1,b7,-19,p20,20,s20,honest,20
1,b8,-5,p4,4,s4,dishonest,8
1,b9,-27,p28,28,s28,honest,28
1,b10,-23,p24,24,s24,honest,24
1,b11,-17,p18,18,s18,honest,54
1,b12,-13,p14,14,s14,honest,28
1,b13,-19,p20,20,s20,honest,40
1,b14,-19,p20,20,s20,honest,60
1,b15,-15,p16,16,s16,honest,16
1,b16,-14,p15,15,s15,honest,15
1,b17,-22,p23,23,s23,honest,23
1,b18,-26,p27,27,s27,honest,27
1,b19,-18,p19,19,s19,honest,19
1,b20,-7,p6,6,s6,dishonest,6
1,b21,-5,p4,4,s4,dishonest,12
1,b22,-13,p14,14,s14,honest,42
1,b23,-5,p4,4,s4,dishonest,16
1,b24,-26,p27,27,s27,honest,54
1,b25,-15,p16,16,s16,honest,32
1,b26,-16,p17,17,s17,honest,17
1,b27,-20,p21,21,s21,honest,21
1,b28,-21,p22,22,s22,honest,22
1,b29,-26,p27,27,s27,honest,81
1,b30,-18,p19,19,s19,honest,38
1,b31,-22,p23,23,s23,honest,46
1,b32,-1,p0,0,s0,dishonest,0
1,b33,-1,p0,0,s0,dishonest,0
1,b34,-11,p10,10,s10,dishonest,10
1,b35,-1,p0,0,s0,dishonest,0
1,b36,-4,p3,3,s3,dishonest,9
1,b37,-1,p0,0,s0,dishonest,0
1,b38,-13,p14,14,s14,honest,56
1,b39,-13,p14,14,s14,honest,70
1,b40,-26,p27,27,s27,honest,108
1,b41,-1,p0,0,s0,dishonest,0
1,b42,-1,p0,0,s0,dishonest,0
1,b43,-18,p19,19,s19,honest,57
1,b44,-12,p13,13,s13,honest,13
1,b45,-11,p10,10,s10,dishonest,20
1,b46,-1,p0,0,s0,dishonest,0
1,b47,-1,p0,0,s0,dishonest,0
1,b48,-1,p0,0,s0,dishonest,0
1,b49,-1,p0,0,s0,dishonest,0
1,b50,-16,p17,17,s17,honest,34
1,b51,-23,p24,24,s24,honest,48
1,b52,-23,p24,24,s24,honest,72
1,b53,-1,p0,0,s0,dishonest,0
1,b54,-7,p6,6,s6,dishonest,12
1,b55,-13,p14,14,s14,honest,84
1,b56,-24,p25,25,s25,honest,25
1,b57,-13,p14,14,s14,honest,98
1,b58,-1,p0,0,s0,dishonest,0
1,b59,-1,p0,0,s0,dishonest,0
1,b60,-1,p0,0,s0,dishonest,0
1,b61,-5,p4,4,s4,dishonest,20
1,b62,-9,p8,8,s8,dishonest,8
1,b63,-1,p0,0,s0,dishonest,0
1,b64,-2,p1,1,s1,dishonest,2
1,b65,-1,p0,0,s0,dishonest,0
1,b66,-1,p0,0,s0,dishonest,0
1,b67,-12,p13,13,s13,honest,26
1,b68,-1,p0,0,s0,dishonest,0
1,b69,-12,p11,11,s11,dishonest,11
1,b70,-18,p19,19,s19,honest,76
1,b71,-11,p12,12,s12,honest,12
1,b72,-17,p18,18,s18,honest,72
1,b73,-1,p0,0,s0,dishonest,0
1,b74,-1,p0,0,s0,dishonest,0
