@relation eCommerce.arff

@attribute day numeric
@attribute buyer_id {b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99}
@attribute buyer_is_honest {dishonest,honest}
@attribute seller_id {s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29}
@attribute seller_is_honest numeric
@attribute rating numeric

@data
1,b0,dishonest,s0,-1,0
1,b1,dishonest,s29,1,0
1,b2,dishonest,s5,-1,0
1,b3,dishonest,s0,-1,0
1,b4,dishonest,s1,-1,0
1,b5,dishonest,s19,1,0
1,b6,dishonest,s27,1,0
1,b7,dishonest,s11,-1,0
1,b8,dishonest,s14,1,0
1,b9,dishonest,s1,-1,0
1,b10,dishonest,s20,1,0
1,b11,dishonest,s11,-1,0
1,b12,dishonest,s11,-1,0
1,b13,dishonest,s11,-1,0
1,b14,dishonest,s26,1,0
1,b15,dishonest,s29,1,0
1,b16,dishonest,s3,-1,0
1,b17,dishonest,s16,1,0
1,b18,dishonest,s17,1,0
1,b19,dishonest,s7,-1,0
1,b20,dishonest,s5,-1,0
1,b21,dishonest,s29,1,0
1,b22,dishonest,s16,1,0
1,b23,dishonest,s29,1,0
1,b24,dishonest,s5,-1,0
1,b25,dishonest,s23,1,0
1,b26,dishonest,s8,-1,0
1,b27,dishonest,s0,-1,0
1,b28,dishonest,s19,1,0
1,b29,dishonest,s29,1,0
1,b30,dishonest,s26,1,0
1,b31,dishonest,s22,1,0
1,b32,dishonest,s29,1,0
1,b33,dishonest,s0,-1,0
1,b34,dishonest,s0,-1,0
